0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Mitigation and Monitoring Items,,,Unit,,,Total Unit,,,Cost/Unit,,,Total Cost,,
,1. Workers Health and Safety:,,,,,,,,,,,,,
Safety Vest,,,No.,,,10,,,270,,,2700,,
,Helmet,,,No.,,,10,,,350.00,,,3500,
safety shoes,,,No.,,,10,,,430.00,,,4300,,
,safety Goggles,,,No.,,,10,,,280.00,,,2800,
Hand Sanitizer (5 Liter),,,No.,,,2.00,,,2600.00,,,5200,,
,One time Face Mask,,,No.,,,2.00,,,500.00,,,1000,
Thermometer for measuring Body temperature,,,No.,,,1,,,1000,,,1000,,
,Fire Extinguisher,,,No.,,,2,,,1299,,,2598,
First Aid Box,,,No.,,,1,,,2500,,,2500,,
,Sub-total excluding over-head & profit =,,,,,,,,,,,,25598,
Sub-total Including over-head & profit =,,,,,,,,,,,,29053.73,,
,Add VAT with adjustment factor (VAT-7.5% & Factor-,,,,,,,,,,,2355.71,,
,1.08108),,,,,,,,,,,,,
"Total for item 1 including over-head, profit and VAT =",,,,,,,,,,,,"31,409.44",,
,2. Engineers Health and Safety:,,,,,,,,,,,,,
Safety Vest,,,No.,,,3,,,270,,,810,,
,Helmet,,,No.,,,3,,,350,,,1050,
safety shoes,,,No.,,,3,,,1000.00,,,3000,,
,safety Goggles,,,No.,,,3,,,500.00,,,1500,
Hand Sanitizer (5 Liter),,,No.,,,1.00,,,2600.00,,,2600,,
,One time Face Mask,,,No.,,,1.00,,,500.00,,,500,
Thermometer for measuring Body temperature,,,No.,,,1,,,1000,,,1000,,
,First Aid Box,,,No.,,,1,,,2500,,,2500,
Sub-total excluding over-head & profit =,,,,,,,,,,,,12960,,
,Sub-total Including over-head & profit =,,,,,,,,,,,,14709.6,
"Add VAT with adjustment factor (VAT-7.5% & Factor-
1.08108)",,,,,,,,,,,,1192.67,,
,"Total for item 2 including over-head, profit and VAT =",,,,,,,,,,,,15902.27,
"3.Training on Occupational Health & Safety, and COVID-
19 Safety Protocol",,,,,,,,,,,,,,
,Train on correct use and disposal of personal protective,,No.,,,1,,,10000,,,10000,,
,equipment (PPE).,,,,,,,,,,,,,
Sub-total excluding over-head & profit =,,,,,,,,,,,,10000,,
,Sub-total Including over-head & profit =,,,,,,,,,,,,11350,
"Add VAT with adjustment factor (VAT-7.5% & Factor-
1.08108)",,,,,,,,,,,,920.27,,
,"Total for item 3 including over-head, profit and VAT =",,,,,,,,,,,,12270.27,
"4.Water, Sanitation and Waste Disposal Management",,,,,,,,,,,,,,
,Supply of waste bins/pots for different wastes.,,,No.,,,2,,,2400,,,4800,
Sub-total excluding over-head & profit =,,,,,,,,,,,,4800,,
,Sub-total Including over-head & profit =,,,,,,,,,,,,5448,
"Add VAT with adjustment factor (VAT-7.5% & Factor-
1.08108)",,,,,,,,,,,,441.73,,
